Date,Adj Close,Close,High,Low,Open,Volume
2024-01-02,398.70526123046875,402.5899963378906,406.0899963378906,400.239990234375,405.8399963378906,58026900
2024-01-03,394.486328125,398.3299865722656,401.0,397.8900146484375,399.92999267578125,47002800
2024-01-04,392.45611572265625,396.2799987792969,399.5899963378906,396.05999755859375,396.44000244140625,39432800
2024-01-05,392.9216003417969,396.75,399.55999755859375,395.3399963378906,396.45001220703125,44922800
2024-01-08,401.04248046875,404.95001220703125,405.239990234375,397.8399963378906,397.989990234375,42473800
2024-01-09,401.8347473144531,405.75,406.69000244140625,401.7099914550781,401.9100036621094,39132900
2024-01-10,404.5582580566406,408.5,409.5199890136719,405.1700134277344,406.07000732421875,33962800
2024-01-11,405.4000244140625,409.3500061035156,411.20001220703125,404.239990234375,409.7900085449219,54536200
2024-01-12,405.60797119140625,409.55999755859375,411.25,408.1499938964844,410.3999938964844,39595000
2024-01-16,405.568359375,409.5199890136719,411.1199951171875,406.8299865722656,408.30999755859375,43903000
2024-01-17,403.2806396484375,407.2099914550781,407.5899963378906,402.9200134277344,406.1700134277344,54386000
2024-01-18,409.0048828125,412.989990234375,413.5799865722656,409.1600036621094,410.5199890136719,59562500
2024-01-19,417.1158447265625,421.17999267578125,421.3399963378906,414.6300048828125,415.2200012207031,70325100
2024-01-22,417.6605224609375,421.7300109863281,424.7300109863281,421.1199951171875,423.4100036621094,44880600
2024-01-23,419.3936767578125,423.4800109863281,423.70001220703125,420.57000732421875,422.42999267578125,33003800
2024-01-24,421.72100830078125,425.8299865722656,429.8500061035156,425.3299865722656,427.44000244140625,46948000
2024-01-25,422.2359619140625,426.3500061035156,429.0400085449219,423.9800109863281,428.3599853515625,44367200
2024-01-26,419.7204284667969,423.80999755859375,426.2099914550781,423.1499938964844,424.44000244140625,37137000
2024-01-29,424.0185852050781,428.1499938964844,428.3500061035156,423.6099853515625,424.2699890136719,38694700
2024-01-30,421.19610595703125,425.29998779296875,427.67999267578125,424.3800048828125,427.1000061035156,36739000
2024-01-31,412.94647216796875,416.9700012207031,422.8699951171875,416.7900085449219,420.8500061035156,64010600
